category,title,image_url,price_normal,price_sale,author,publisher,pubDate,introduction,inventory
050301,20대를 위한 연애와 사랑,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788999730252.jpg,15000,13500,신민주,학지사,2024-08-20,,30
050301,마음 정렬,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788925574707.jpg,19800,17820,사라 워터스,알에이치코리아,2024-08-29,"‘이건 내가 원하던 삶이 아냐.’ ‘사람들은 나를 과대평가하고 있어’. ‘이렇게 사는 게 무슨 의미가 있을까?’ 낮은 자존감, 완벽주의, 불안과 무기력 등 부정적인 감정에 휩싸여 자기 자신을 구렁텅이에 빠뜨릴 때가 있다. 마음을 다잡고 남들처럼 살아보려고 이런저런 책을 찾아보곤 하지만 상태가 나아질 것 같지 않다. 어떻게 해야 할까? 
포천 500대 기업에서 선정한 심리치료사이자 불안과 트라우마 치료를 전문으로 다루는 레드록스 카운슬링 설립자인 사라 워터스(Sara Waters)는 자신을 끊임없이 의심하는 내담자들을 수십 년간 치료하며 심적 고통의 과학적 원인을 밝히고, 그로부터 빠져나올 수 있는 해법을 찾았다. 바로, 마음 정렬 치료법이다. 이에 관한 모든 기법을 담은 이 책 《마음 정렬(More Yourself)》은 왠지 모를 결핍과 무기력, 불안 속에서 하루하루 삶의 에너지를 도둑맞고 있다고 느끼는 이들에게 내면의 안정감을 키우는 실질적인 방안과 함께 세심하고 따뜻한 위로를 건넨다. 긍정적인 생각보다 부정적인 생각을 더 많이 하고 있다면, 이 책을 읽어보자. 조용히 자신을 갉아먹고 있는 가스라이팅의 악순환을 끊어내고, 참다운 나의 에너지를 사용하는 법을 찾을 수 있을 것이다.",30
050301,일상으로서의 명상,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791168622784.jpg,20000,18000,앤 스완슨,시그마북스,2024-09-02,"이 책은 과학에 근거한 명상의 작용 원리를 정리한 개론서이자, 명상 수련법을 다룬 사용자 친화적인 안내서다. 이 책에는 몸과 마음, 영혼을 치유하는 75가지의 간단한 명상이 소개되어 있다. 수면에 도움을 주는 명상, 창의력을 불러일으키는 운동, 비행기 이륙 전의 의식적인 움직임 또는 PMS나 관절염 통증을 완화하는 시각화 등 자기에게 가장 잘 맞는 명상법이 무엇인지 알아보고, 이를 통해 더 나은 삶, 행복한 삶을 향해 나아가보자.",30
050301,행동과학 연구방법,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788999731754.jpg,,28000,김초복,학지사,2024-08-30,"총 12개의 장으로 이루어진 이 책의 세부 내용은 다음과 같다.
제1장부터 제4장까지는 구체적인 연구방법을 설명하기에 앞서 그 기반이 되는 기본적인 내용을 다룬다. 행동에 관한 연구를 수행하기 위해서는 행동을 과학적으로 설명하는 것의 의미가 무엇인지를 먼저 알아야 하고(1장), 계획부터 마무리까지 연구의 전반적인 과정의 틀을 이해해야 하며(2장), 연구 윤리적 측면의 중요성과 실행 방안에 관해 반드시 숙고해야 하고(3장), 모든 연구에서 기본적으로 사용하는 변인과 측정의 개념을 분명하게 이해해야 한다(4장). 이렇게 4장까지는 연구 수행을 위한 초석을 다질 수 있는 내용을 담고 있다.
제5장부터 제7장까지는 세 가지 연구방법을 기술연구(5장), 상관연구(6장), 실험연구(7장)의 순으로 구체적인 연구 유형과 절차를 중심으로 서술한다. 제5장에서는 다양한 기술연구를 시행하는 방법에 중점을 두고, 제6장과 제7장은 각각 상관연구와 실험연구를 어떻게 시행하는지 그 절차에 초점을 두고 상세하게 설명하는데, 특히 제2장에서 소 개하는 연구의 일반적 절차를 기반으로 각 연구방법의 절차를 구체적으로 설명한다.
제8장은 연구에서, 특히 실험에서 더욱 중요하게 고려해야 하는 타당도의 개념을 독립된 하나의 장으로 다룬다. 타당도에 관한 내용은 단지 8장에 국한하는 것이 아니며, 앞선 상관연구부터 이후의 거의 모든 장에서 반복적으로 언급된다.
제9장은 실험이 무엇인가에 관한 틀을 구조화할 수 있도록 간단한 형태의 실험설계 방식을 설명하며, 제10장에서는 이를 확장하여 더 복잡하고 다양한 형태의 실험설계를 다룬다. 제11장에서는 실험을 시행할 수 없는 상황에서 대안적으로 시행하는 준실험에 관한 내용과 더불어, 실험 처치를 개인에게 적용하여 그 효과를 확인하기 위한 단일사례 설계를 설명한다.
마지막으로, 제12장은 연구 결과를 어떻게 해석하고 평가해야 하는지, 그리고 연구 결과들을 어떻게 통합적으로 일반화하여 이해할 수 있는지를 설명한다.
이렇게 각 장은 개념을 중심으로, 또는 절차를 중심으로 설명하고 있다. 본문의 내용과 관련하여 추가로 살펴볼 내용은 〈읽어 보기〉를 통해 제시하고 있다. 또한 각 장의 마지막에는 해당 장의 주요 용어를 에 목록으로 제공하는데, 본문에서 다룬 순서대로 나열함으로써 각 용어를 더 쉽게 이해하고 기억할 수 있도록 하였다. 마지막으로, 그 장의 에서는 각 장에서 다루는 주요 개념들을 잘 이해하고 있는지 스스로 점검해 볼 수 있는 문제들을 제공하고 있다.
제12장 이후에는 본문에서 인용한 참고문헌 전체 목록을 제시하고 있으므로, 본문에서 다룬 관련 내용을 더 상세하게 확인하고자 하는 독자들은 이를 적극적으로 활용하기를 바란다. 부록에는 본문에서 사용한 원본 데이터 일부를 제공하고 있으며, 문제에 대한 답을 제공한다. 마지막으로, 각 장의 에 나왔던 모든 주요 용어를 색인화하여 제시한다.",30
050301,슬픔의 해부학: 죽음이 닥치기 전에 배워야 할 슬픔,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791192373348.jpg,18800,16920,도로시 P. 홀링거,인라우드,2024-08-13,"하버드 의대에서 수십 년간 활동한 심리학자가 풀어내는 슬픔에 대한 인간적인 이야기

죽음에는 왜 항상 슬픔이 뒤따를까? 아마도 사랑하는 이를 영영 보지 못한다는 사실이 괴롭기 때문일 것이다. 누군가는 고인을 마음에 품어두고 일상 속으로 빠르게 회복하지만, 또 다른 누군가는 현실을 외면하며 떠나간 자를 놓지 못하고 힘들어한다. 『슬픔의 해부학: 죽음이 닥치기 전에 배워야 할 슬픔』은 제목처럼 슬픔의 기원, 이론, 형태 등에 관해 낱낱이 파헤치며 상실의 아픔은 어디에서 오는 것인지 상세히 알려준다. 슬픔에 대한 과학적 사실을 토대로 사랑하는 사람, 그중에서도 가족을 잃었지만 떠나보내지 못하는 이들을 위해 쓰였다. 

이 책은 슬픔의 기원을 찾는 것부터 시작한다. 슬픔이라는 감정이 어디서부터 비롯된 것인지 또 슬픔의 형태와 언어란 무엇인지 살펴보고, 슬픔을 겪었을 때 일어나는 정신적, 신체적 변화에 대해 단계적으로 설명한다. 나아가 가족이 사망했을 때 각 구성원들에게 슬픔이 어떠한 형태로 나타나는지 보여준다. 『슬픔의 해부학: 죽음이 닥치기 전에 배워야 할 슬픔』은 단순한 이론서가 아니다. 과학적 연구 결과에 기반한 증명된 내용이 담겨있을 뿐만 아니라 저자가 경험한 슬픔과 내담자들의 경험이 녹아 있다. 누구에게나 찾아오는 상실의 경험은 독자로 하여금 공감을 이끌어내며 슬픔을 더욱 쉽게 이해하고 극복할 수 있도록 도움을 줄 것이다. 

『슬픔의 해부학: 죽음이 닥치기 전에 배워야 할 슬픔』은 차별화된 내용을 담고 있다. 바로 ‘슬픔의 본질’을 쉽게 담아내면서 감성적인 이야기도 함께 녹여내 독자들의 심금을 울린다는 점이다. 저자는 독자들에게 이야기를 풀어가는 내내 슬픔을 느끼는 것은 당연하며, 억눌러야 하는 감정이 아니라는 메시지를 부드럽게 전달한다. 우리 주변에서 흔히 볼 수 있는 다양한 사례들을 말하며 독자들의 공감을 이끌어낸다. 이 책은 상실의 슬픔을 어떻게 대처할지 모르는 사람들에게 방향성을 제시하며 혼자 살아가야 하는 막막한 미래를 환하게 비춰주는 등불이 되어 준다.",30
050301,좋은 관계가 행복을 약속한다,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791193707524.jpg,20000,18000,이종목,전남대학교출판문화원,2024-08-05,"저자는 이 책을 통해서 나와 나의 관계, 인간과의 관계, 환경과의 관계 그리고 하늘과의 관계에서 사용하는 우리의 전통적인 가치관과 습관에 대해서 알아보고, 행복 선진국에 비해서 이러한 가치관이 우리를 행복으로 이끄는데 얼마만큼의 영향을 미치며 진정한 행복을 위해서 우리는 어떠한 관계의 가치관으로 삶을 살아가야 할지 하는 문제에 관해 생각하는 실마리를 만들어보려고 한다.",30
050301,성격 좋다는 말에 가려진 것들,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791172131098.jpg,18800,16920,이지안,한겨레출판사,2024-08-20,"화나거나 서운할 때, 상대가 기분 나쁠까 봐 참게 되는가? 괜찮지 않은 순간에도 ‘괜찮다’는 말을 습관처럼 하는가? 유독 대하기 껄끄럽고 어려운 사람이 있거나 갈등 상황이 생길 때, 내 탓부터 하게 되는가? 상대의 거절을 받아들이는 것도, 상대를 거절하는 것도 어려운가? 그렇다면 당신은 ‘착하고 성격 좋다’는 기대에 맞춰 타인을 배려하며 살아가느라 정작 자기 자신을 조각조각 잃어버린 사람일 수 있다.
《성격 좋다는 말에 가려진 것들》은 폐 끼치는 게 두려워 자신의 마음을 숨겨온 사람들을 위한 ‘자기 허용’ 심리학 책으로, 이 ‘성격 좋은 사람’들이 겉으로는 누구와도 무난히 잘 어울리는 듯 보이지만 정작 자기 자신과는 잘 지내지 못할 수 있다는 점에 주목한다. 한국심리학회 공인 임상심리전문가이자 이 책의 저자 이지안은 자신 역시 착하고 무던하다는 꼬리표에 얽매여, 타인에게 받아들여지기 위한 ‘거짓자기’로 살아오느라 자책과 자기 검열을 끊임없이 반복해 왔음을 고백한다. 자아를 까맣게 잊어버린 심리학자가 자기 중심을 되찾을 수 있었던 것은 바로 자신의 욕구와 기질에 힘껏 주목하며 ‘금 가고 부서진 마음 조각’을 찾아 붙인 덕분이었다. 이 책은 저자의 경험에서 나온 내밀한 고백을 따라 진행되는데, 1부에서는 타인을 배려하느라 참아온 부정적 감정을 이해하는 법을, 2부에서는 타인의 기대를 거두고 진정한 핵심 자아를 살피는 법을, 3부에서는 과거의 상처를 잘 소화하는 법을, 4부에서는 자신을 지키며 타인과 관계 맺는 법을 다룬다.
‘참자기를 직면하는 것은 어려운 여정이다. 하지만 그 속에서 내가 느끼는 진짜 감정을 발견할 수 있다’. 이 책을 추천한 전홍진 정신건강의학과 교수가 이야기했듯, 독자들이 이 책을 통해 ‘자신을 누르는 엄격한 목소리에서 벗어나 참된 자신을 찾아갈 수 있기를’ 바란다.",30
050301,아이덴티티,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791192389943.jpg,23000,20700,제이 반 바벨 외,상상스퀘어,2024-08-14,"아마 대부분은 자신의 정체성이 안정적이라 생각할 것이다. 하지만 사실 정체성은 끊임없이 변하고 있다. 심지어 정체성은 종종 무의식적으로, 때로는 자신의 의지와 다르게 변하면서 우리가 속한 집단의 이익을 반영한다. 《아이덴티티》는 우리가 속한 집단이 우리의 정체성을 형성하는 데 어떻게 영향을 미치는지, 이것이 어떻게 개인의 변화로 이어질 수 있는지, 그리고 이러한 정체성이 어떻게 우리를 분열시키고 단결시킬 수 있는지를 사회심리학적인 관점에서 탐구하는 책이다. 이 책의 저자들은 심리학과 신경과학의 최첨단 연구를 통합해 정체성이 실제로 어떻게 작동하는지, 정체성의 역동적인 본질을 어떻게 활용할 수 있는지 설명한다. 

최근 몇 년간 정치적·사회적 분열이 심화되면서 집단 간 갈등이 커지고 있다. 이 책은 집단 정체성의 형성과 집단 간 상호작용을 이해함으로써, 이러한 분열을 극복하고 갈등을 해소하는 데 필요한 통찰을 제공한다. 대립은 사회의 안정과 발전에 부정적인 영향을 미치고, 사회 전반에 걸쳐 불안과 갈등이 증가하면 결국 일상생활에까지 지장을 준다. 이러한 문제들을 해결하기 위해서는 집단 간 대화를 촉진하고, 상호 이해를 높여야 한다.",30
050301,"꾸준히, 오래, 지치지 않고",https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791197993442.jpg,17800,16020,하지현,마티스블루,2024-08-20,"일은 어쩔 수 없이 하는 것이고, 하지 않을 수 있으면 안 하는 게 좋을까? 하지만 깨어 있는 시간의 절반 이상을 일하면서 보내는데 일이 힘들고 괴롭기만 하다면 얼마나 불행한 삶일까? 30년 넘게 환자들의 고민을 듣고 그 무게를 함께 나눠온 하지현 작가는 이러한 문제의식을 바탕으로 이 책 《꾸준히, 오래, 지치지 않고》에서 일하면서 상처 입은 많은 사람들을 위해 스스로를 지키며 일하는 마음의 태도에 대해 이야기한다. 그리고 정신과 의사이자 직장인, 작가로서 오랫동안 일해오면서 깨달은 자신의 경험과 통찰을 담아내고 있다. 모든 사람들의 기본은 ‘생존’이고, ‘안심’이 된 후에야 새로운 도전을 하거나 더 높은 목표를 향해 나아갈 수 있다. 그러므로 가장 중요한 것은 잘하는 것보다 지치지 않는 것이고, 어차피 해야 할 일이라면 그 시간 동안 조금이라도 더 성장할 수 있는 방법을 찾는 것이다. 이 책은 ‘꾸준히, 오래, 지치지 않고’ 일하는 것의 가치를 제시하며 스스로를 성장시키고 일과 삶의 균형을 잡고자 하는 독자들에게 도움을 줄 수 있을 것이다.",30
050301,세뇌의 역사,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791185415727.jpg,25000,22500,조엘 딤스데일,에이도스,2024-08-18,"미국의 저명한 정신의학자인 지은이는 중세시대의 종교재판부터 과학적 실험을 통해 행동을 조건화하려 했던 파블로프 그리고 한국전쟁을 거쳐 현대에 이르기까지 우리를 유령처럼 늘 따라다녔던 세뇌의 역사를 추적한다. 이단을 굴복시키기 위해, 새로운 인간을 창조하기 위해, 자유주의와 공산주의의 이념 전쟁에서 승리하기 위해, 포로와 범죄자들에게서 정보와 비밀을 캐내기 위해, 때로는 신흥종교의 신도들을 끌어모으기 위해 사용된 강압적 설득의 기술을 세상을 뒤흔들었던 굵직한 역사적 사건을 중심으로 파헤친다. 인간의 정신을 지배하고, 통제하고, 조작하기 위한 정부기관과 과학자들과 범죄자들과 사이비종교 지도자들의 상상을 초월하는 이야기와 함께 한물간 비과학적 개념이라는 평가를 받는 ‘세뇌’가 현대에 어떤 의미를 갖는지 다시 생각하게 한다.",30
